1,4442483880723085
-3,145429796604625
0,980278852276566
-4,017113379439433
3,7780694979895344
-2,505956675047212
-7,638329296471705
-5,3868983714824195
8,046641301962039
-4,239217337115198
1,3480650514616173
-8,860683250214706
-10,389594503490581
8,465075227105446
1,116797283528662
-10,664955223138863
-1,4950829147140716
-7,997369159261789
1,653880507664521
1,9526240629515605
3,2528238229870645
-5,359682799759461
4,853904971687559
-3,9083801358861576
0,7399201432193525
6,722452819245332
-9,15449485825339
4,913952432679828
5,343180598438741
-6,300613491486851
7,03076348032379
6,249960203504555
-7,691000964828534
-9,443108873053891
-0,30635570515638655
-9,898761051570386
0,023690870875260117
-6,121991081251088
3,7239506383666594
2,811337994630639
9,908516909757738
10,244334588609318
-6,267177344784051
6,662249762374982
8,689653576804096
-1,5614989491529503
0,7636659410678437
-6,053467049705693
-5,934849562423107
-9,067585863140732
-1,5564022342516584
1,581946542151524
-0,5207843925360205
2,203704698307577
0,014858492414822067
9,299725970010558
3,8864652012998455
4,654132304520001
10,25899702888587
6,52697850411043
9,810592100088721
4,333141580589295
-4,960656176234905
-2,167784894432872
-6,915949155255927
8,971586539660082
2,3866627788513277
-8,396025951574218
1,8746618985972976
6,620543756575563
-7,635838385792388
8,004994568927083
-8,822827604993671
-0,011700842139283907
3,0774607530525397
1,3488444999508111
-7,464442714738598
3,514377998882427
8,596537726289155
-6,09602616003439
9,386202261795544
-5,630604109993088
5,287162570932901
-2,9017658329756824
-9,803185835918468
8,647937546706084
-6,583646502241613
9,43759010979552
8,256387417503118
1,0906874658824801
-8,526565166193919
-9,752096827197178
5,448116334886214
0,30156308718090763
0,22810580698537386
7,20387083559555
-7,32077509076769
-4,342073300757541
-2,6256112346707905
8,598943675502996
